CAPRS,Story/Defect,Release,Iteration,Backlog Group
IM11052373,S-16050,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Architecture
IM11052467,D-02377,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Correspondence
IM11052467,D-02378,0.93.1 - 11/18/17 Release during PI8,PI8-Sprint 4,Correspondence
IM11052467,D-02379,0.93.2 - 12/16/17 Release during PI8,PI8-Sprint 4,Correspondence
IM11053050,S-07539,1.3.0 - 4/28/18 Release at end of PI9,,Evidence Request and Receipt
IM11053050,S-16008,1.3.0 - 4/28/18 Release at end of PI9,,Evidence Request and Receipt
IM11053250,S-15928,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Architecture
IM11053389,S-15959,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Delivery & Delivery Failure
IM11053693,S-16006,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Fiscal
IM11053826,S-16107,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Correspondence
IM11055516,S-16053,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 4,Fiscal
IM11055882,S-16102,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Architecture
IM11056588,S-16122,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Fiscal SPA Interface
IM11057024,S-17159,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Architecture
IM11057026,S-17159,1.0.0 - 1/27/18 Release at end of PI8,PI8-Sprint 5,Architecture
IM11057164,D-02430,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Evidence Request and Receipt
IM11057164,S-17175,1.0.0 - 1/27/18 Release at end of PI8,Kanban,Architecture
